"ID","linenum","fstation","lstation","linelong","co","kongtiao","yuepiao","piaozhi","pay","ftime","ltime","station"
65,"109(东大桥-西客站)","东大桥","西客站(暂到广安门）","15.13","电车","否","有效","单一票制","1.00","5:00","23:00","1 东大桥(朝阳区) 
 
2 神路街 
 
3 朝外大街 
 
4 朝阳门 
 
5 朝内小街 
 
6 东四 
 
7 美术馆 
 
8 沙滩 
 
9 故宫 
 
10 北海 
 
11 府右街 
 
12 西四 
 
13 缸瓦市 
 
14 甘石桥(西单北大街) 
 
15 商场 
 
16 西单 
 
17 宣武门 
 
18 校场口 
 
19 菜市口 
 
20 教子胡同 
 
21 牛街 
 
22 白广路 
 
23 达官营 
 
24 甘石桥(广外大街) 
 
25 广安门外 
 
26 湾子 
 
27 西客站 
"
66,"109(西客站-东大桥)","西客站(暂到广安门）","东大桥","15.46","电车","否","有效","单一票制","1.00","5:00","23:00","1 西客站 
 
2 湾子 
 
3 广安门外 
 
4 甘石桥(广外大街) 
 
5 达官营 
 
6 白广路 
 
7 牛街 
 
8 教子胡同 
 
9 菜市口 
 
10 校场口 
 
11 宣武门 
 
12 西单 
 
13 商场 
 
14 甘石桥(西单北大街) 
 
15 缸瓦市 
 
16 西四 
 
17 府右街 
 
18 北海 
 
19 故宫 
 
20 沙滩 
 
21 美术馆 
 
22 东四 
 
23 朝内小街 
 
24 朝阳门 
 
25 朝外大街 
 
26 神路街 
 
27 东大桥(朝阳区) 
"
67,"11(半壁店-大北窑)","半壁店","大北窑","8.50","客五","否","有效","单一票制","1.00","5:30","22:40","1 半壁店(广渠路) 
 
2 方家村 
 
3 四根旗杆 
 
4 唐家村 
 
5 东石门 
 
6 大郊亭北站 
 
7 化工厂 
 
8 珠江帝景 
 
9 九龙山 
 
10 东郊火车站 
 
11 八王坟 
 
12 大北窑 
"
68,"11(大北窑-半壁店)","大北窑","半壁店","7.10","客五","否","有效","单一票制","1.00","5:20","22:40","1 大北窑 
 
2 八王坟 
 
3 东郊火车站 
 
4 九龙山 
 
5 珠江帝景 
 
6 化工厂 
 
7 大郊亭北站 
 
8 东石门 
 
9 唐家村 
 
10 四根旗杆 
 
11 方家村 
 
12 半壁店(广渠路) 
"
69,"110(和平里火车站-天桥)","和平里火车站","天桥","15.65","客七","否","有效","单一票制","1.00","5:00","23:00","1 和平里火车站 
 
2 柳芳北街 
 
3 左家庄中街 
 
4 静安庄 
 
5 左家庄东街 
 
6 左家庄 
 
7 新源里 
 
8 塔园村 
 
9 幸福三村 
 
10 幸福二村 
 
11 体育场 
 
12 朝阳医院 
 
13 东大桥(朝阳区) 
 
14 神路街 
 
15 朝外大街 
 
16 朝阳门 
 
17 小街 
 
18 东四 
 
19 灯市东口 
 
20 米市大街 
 
21 东单 
 
22 崇文门 
 
23 台基厂 
 
24 正义路 
 
25 前门 
 
26 大栅栏 
 
27 珠市口 
 
28 天桥 
"
70,"110(天桥-和平里火车站)","天桥","和平里火车站","15.65","客七","否","有效","单一票制","1.00","5:00","23:00","1 天桥 
 
2 珠市口 
 
3 大栅栏 
 
4 前门 
 
5 正义路 
 
6 台基厂 
 
7 崇文门 
 
8 东单 
 
9 米市大街 
 
10 灯市东口 
 
11 东四 
 
12 小街 
 
13 朝阳门 
 
14 朝外大街 
 
15 神路街 
 
16 东大桥(朝阳区) 
 
17 朝阳医院 
 
18 体育场 
 
19 幸福三村 
 
20 塔园村 
 
21 新源里 
 
22 左家庄 
 
23 左家庄东街 
 
24 静安庄 
 
25 左家庄中街 
 
26 柳芳北街 
 
27 和平里火车站 
"
71,"111(白石桥-崇文门)","白石桥","崇文门","12.74","电车","否","有效","单一票制","1.00","4:50","23:00","1 崇文门 
 
2 东单 
 
3 米市大街 
 
4 灯市东口 
 
5 灯市西口 
 
6 美术馆 
 
7 沙滩 
 
8 景山 
 
9 景山东街 
 
10 地安门 
 
11 北海北门 
 
12 东官房 
 
13 厂桥 
 
14 平安里 
 
15 新街口 
 
16 新开胡同 
 
17 西内大街 
 
18 西外大街 
 
19 展览馆 
 
20 动物园 
 
21 白石桥 
"
72,"111(崇文门-白石桥)","崇文门","白石桥","12.74","电车","否","有效","单一票制","1.00","5:00","23:00","1 白石桥 
 
2 动物园 
 
3 展览馆 
 
4 西外大街 
 
5 西内大街 
 
6 新开胡同 
 
7 新街口 
 
8 平安里 
 
9 厂桥 
 
10 东官房 
 
11 北海北门 
 
12 地安门 
 
13 景山东街 
 
14 景山 
 
15 沙滩 
 
16 美术馆 
 
17 灯市西口 
 
18 灯市东口 
 
19 米市大街 
 
20 东单 
 
21 崇文门 
"
73,"112(亮果厂-十里堡)","亮果厂","十里堡","9.75","电车","否","有效","单一票制","1.00","5:00","23:00","1 亮果厂 
 
2 沙滩 
 
3 美术馆 
 
4 东四 
 
5 朝内小街 
 
6 朝阳门 
 
7 朝外大街 
 
8 神路街 
 
9 东大桥(朝阳区) 
 
10 关东店 
 
11 呼家楼 
 
12 小庄 
 
13 红庙 
 
14 英家坟 
 
15 慈云寺 
 
16 八里庄(朝阳路) 
 
17 印染厂 
 
18 十里堡 
"
74,"112(十里堡-亮果厂)","十里堡","亮果厂","9.65","电车","否","有效","单一票制","1.00","5;00","23:00","1 十里堡 
 
2 印染厂 
 
3 八里庄 
 
4 慈云寺 
 
5 英家坟 
 
6 红庙 
 
7 小庄 
 
8 呼家楼 
 
9 关东店 
 
10 东大桥 
 
11 神路街 
 
12 朝外大街 
 
13 朝阳门 
 
14 朝内小街 
 
15 东四 
 
16 美术馆 
 
17 沙滩 
 
18 亮果厂 
"
75,"113(安定门-大北窑)","安定门","大北窑","15.25","客七","否","有效","单一票制","1.00","5:00","23:00","1 地坛 
 
2 蒋宅口 
 
3 外馆斜街 
 
4 安华里 
 
5 甘水桥 
 
6 蒋宅口 
 
7 地坛 
 
8 安定门 
 
9 交道口 
 
10 宽街 
 
11 张自忠路 
 
12 小街 
 
13 十条豁口 
 
14 中街 
 
15 工人体育馆 
 
16 体育场 
 
17 三里屯 
 
18 农展馆 
 
19 白家庄 
 
20 呼家楼 
 
21 光华路 
 
22 大北窑 
"
76,"113(大北窑-安定门)","大北窑","安定门","9.75","客七","否","有效","单一票制","1.00","5:00","23:00","1 大北窑 
 
2 光华路 
 
3 呼家楼 
 
4 白家庄 
 
5 农展馆 
 
6 三里屯 
 
7 体育场 
 
8 工人体育馆 
 
9 中街 
 
10 十条豁口 
 
11 小街 
 
12 张自忠路 
 
13 宽街 
 
14 交道口 
 
15 安定门 
"
77,"114(白云路-紫竹院)","白云路","紫竹院","7.98","电车","否","有效","单一票制","1.00","5:00","23:00","1 白云路 
 
2 公安大学 
 
3 经委会 
 
4 玉渊潭 
 
5 钓鱼台 
 
6 甘家口 
 
7 甘家口商场 
 
8 百万庄 
 
9 四道口 
 
10 外文印刷厂 
 
11 老虎庙 
 
12 花园村 
 
13 紫竹院西站 
 
14 紫竹院 
"
78,"114(紫竹院-白云路)","紫竹院","白云路","6.20","电车","否","有效","单一票制","1.00","5:00","23:00","1 紫竹院 
 
2 白石桥 
 
3 四道口 
 
4 百万庄 
 
5 甘家口商场 
 
6 甘家口 
 
7 钓鱼台 
 
8 玉渊潭 
 
9 经委会 
 
10 木樨地 
 
11 白云路 
"
79,"115(康家沟-霞光街)","康家沟","霞光街","12.65","电车","否","有效","单一票制","1.00","5:00","23;00","1 康家沟 
 
2 青年路 
 
3 甘露园西里 
 
4 十里堡 
 
5 八里庄 
 
6 慈云寺 
 
7 英家坟 
 
8 红庙 
 
9 小庄 
 
10 水碓子 
 
11 团结湖公园 
 
12 团结湖北口 
 
13 农展馆 
 
14 三里屯 
 
15 体育场 
 
16 体育馆 
 
17 中街 
 
18 十条豁口 
 
19 小街 
 
20 张自忠路 
 
21 宽街 
 
22 霞光街 
"
80,"115(霞光街-康家沟)","霞光街","康家沟","12.35","电车","否","有效","单一票制","1.00","5:00","23:00","1 霞光街 
 
2 宽街 
 
3 张自忠路 
 
4 小街 
 
5 十条豁口 
 
6 中街 
 
7 体育馆 
 
8 体育场 
 
9 三里屯 
 
10 农展馆 
 
11 团结湖北口 
 
12 团结湖公园 
 
13 水碓子 
 
14 小庄 
 
15 红庙 
 
16 英家坟 
 
17 慈云寺 
 
18 八里庄(朝阳路) 
 
19 十里堡 
 
20 甘露园西里 
 
21 青年路 
 
22 康家沟 
"
81,"116(北京游乐园-和平里火车站)","北京游乐园","和平里火车站","11.72","客七","否","有效","单一票制","1.00","5:00","24:00","1 北京游乐园 
 
2 北京体育馆 
 
3 法华寺 
 
4 磁器口 
 
5 崇文门 
 
6 东单 
 
7 米市大街 
 
8 东四 
 
9 钱粮胡同 
 
10 十二条 
 
11 北新桥 
 
12 雍和宫 
 
13 北小街豁口 
 
14 和平里南口 
 
15 和平里 
 
16 和平里火车站 
"
82,"116(和平里火车站-北京游乐园)","和平里火车站","北京游乐园","11.77","客七","否","有效","单一票制","1.00","5:00","24:00","1 和平里火车站 
 
2 和平里 
 
3 和平里南口 
 
4 北小街豁口 
 
5 雍和宫 
 
6 北新桥 
 
7 十二条 
 
8 钱粮胡同 
 
9 东四 
 
10 米市大街 
 
11 东单 
 
12 崇文门 
 
13 磁器口 
 
14 法华寺 
 
15 北京体育馆 
 
16 北京游乐园 
"
83,"117(红庙-五路居)","红庙","五路居","15.10","电车","否","有效","单一票制","1.00","6:00","22:00","1 红庙 
 
2 金台路 
 
3 甜水园北里 
 
4 朝阳公园 
 
5 团结湖 
 
6 农展馆 
 
7 体育场 
 
8 幸福三村 
 
9 春秀路 
 
10 东直门外 
 
11 东直门内 
 
12 东内小街 
 
13 北新桥 
 
14 雍和宫 
 
15 地坛 
 
16 和平里南口 
 
17 和平里 
 
18 和平里商场 
 
19 和平街北口 
 
20 和平西街 
 
21 安贞桥 
 
22 安贞里 
 
23 五路居 
"
84,"117(五路居-红庙)","五路居","红庙","15.50","电车","否","有效","单一票制","1.00","6:00","22:00","1 五路居 
 
2 安贞里 
 
3 安贞桥 
 
4 和平西街 
 
5 和平街北口 
 
6 和平里商场 
 
7 和平里 
 
8 和平里南口 
 
9 地坛 
 
10 雍和宫 
 
11 北新桥 
 
12 东内小街 
 
13 东直门内 
 
14 东直门外 
 
15 春秀路 
 
16 幸福三村 
 
17 体育场 
 
18 农展馆 
 
19 团结湖 
 
20 朝阳公园 
 
21 甜水园北里 
 
22 金台路 
 
23 红庙 
"
85,"118(红庙-紫竹院)","红庙","紫竹院","18.50","电车","否","有效","单一票制","1.00","5:00","23:00","1 红庙 
 
2 小庄 
 
3 呼家楼 
 
4 关东店 
 
5 东大桥 
 
6 朝阳医院 
 
7 体育场 
 
8 体育馆 
 
9 中街 
 
10 十条豁口 
 
11 小街 
 
12 张自忠路 
 
13 宽街 
 
14 锣鼓巷 
 
15 地安门 
 
16 北海北门 
 
17 东官房 
 
18 厂桥 
 
19 平安里 
 
20 平安医院 
 
21 官园 
 
22 车公庄 
 
23 三塔寺 
 
24 二里沟东口 
 
25 郝家湾 
 
26 二里沟西口 
 
27 四道口 
 
28 外文印刷厂 
 
29 老虎庙 
 
30 花园村 
 
31 紫竹院西站 
 
32 紫竹院 
"
86,"118(紫竹院-红庙)","紫竹院","红庙","16.90","电车","否","有效","单一票制","1.00","5:00","23:00","1 紫竹院 
 
2 白石桥 
 
3 四道口 
 
4 二里沟西口 
 
5 郝家湾 
 
6 二里沟东口 
 
7 三塔寺 
 
8 车公庄 
 
9 官园 
 
10 平安医院 
 
11 平安里 
 
12 厂桥 
 
13 东官房 
 
14 北海北门 
 
15 地安门 
 
16 锣鼓巷 
 
17 宽街 
 
18 张自忠路 
 
19 小街 
 
20 十条豁口 
 
21 中街 
 
22 体育馆 
 
23 体育场 
 
24 朝阳医院 
 
25 东大桥 
 
26 关东店 
 
27 呼家楼 
 
28 小庄 
 
29 红庙 
"
87,"119(地坛-芍药居)","地坛","芍药居","9.00","客七","否","有效","单一票制","1.00","5:00","23:00","1 地坛 
 
2 蒋宅口 
 
3 兴化路 
 
4 和平西街 
 
5 青年沟 
 
6 和平里商场 
 
7 和平街北口 
 
8 中日医院 
 
9 樱花园西街 
 
10 北土城 
 
11 安苑路 
 
12 惠新西街北口 
 
13 小营 
 
14 文学馆 
 
15 芍药居 
"
88,"119(芍药居-地坛)","芍药居","地坛","9.00","客七","否","有效","单一票制","1.00","5:00","23:00","1 芍药居 
 
2 文学馆 
 
3 经贸大学 
 
4 惠新里 
 
5 安苑路 
 
6 北土城 
 
7 樱花园西街 
 
8 中日医院 
 
9 和平街北口 
 
10 和平里商场 
 
11 青年沟东口 
 
12 和平西街 
 
13 兴化路 
 
14 蒋宅口 
 
15 地坛 
"
89,"119支(地坛-芍药居)","地坛","芍药居","6.50","客七","否","有效","单一票制","1.00","6:30","21:30","1 地坛 
 
2 蒋宅口 
 
3 兴化路 
 
4 和平商业大厦 
 
5 和平里 
 
6 和平里商场 
 
7 和平街北口 
 
8 中日医院 
 
9 经贸大学 
 
10 文学馆 
 
11 芍药居 
"
